pagina,visual_name,visual_tipo,query_refs,filtros_visual,posicion
Empresarial,b015745a1e48da38fb3f,actionButton,,,"x=1185.9311428197407,y=15.683728236680192,z=14000"
Institucional,c3e4af7fbc3819ab1d26,textbox,,,"x=0,y=0,z=0"
Institucional,cc8a16c909be245ce9cf,image,,,"x=0,y=0,z=1000"
Institucional,cf68707afa43986b151f,card,_Medidas.GenF_Total_Actividades,,"x=0,y=97.02726958923023,z=2000"
Institucional,c306f3ede08720cb0531,slicer,Dim_Fecha.mes_nombre,"[{""Condition"": {""Not"": {""Expression"": {""In"": {""Expressions"": [{""Column"": {""Expression"": {""SourceRef"": {""Source"": ""d""}}, ""Property"": ""mes_nombre""}}], ""Values"": [[{""Literal"": {""Value"": ""null""}}]]}}}}}]","x=1.5906109768726266,y=284.7193648602002,z=3000"
Institucional,71feb95df17cc18bf047,slicer,Dim_Fecha.anio,"[{""Condition"": {""In"": {""Expressions"": [{""Column"": {""Expression"": {""SourceRef"": {""Source"": ""d""}}, ""Property"": ""anio""}}], ""Values"": [[{""Literal"": {""Value"": ""2024L""}}], [{""Literal"": {""Value"": ""2025L""}}], [{""Literal"": {""Value"": ""2026L""}}]]}}}]","x=1.5906109768726266,y=190.8733172247152,z=5000"
Institucional,b1dce87ead61c1342ba5,slicer,Dim_Comuna.comuna_cod,"[{""Condition"": {""Not"": {""Expression"": {""In"": {""Expressions"": [{""Column"": {""Expression"": {""SourceRef"": {""Source"": ""d""}}, ""Property"": ""comuna_cod""}}], ""Values"": [[{""Literal"": {""Value"": ""null""}}], [{""Literal"": {""Value"": ""99L""}}]]}}}}}]","x=158.0437230003927,y=190.61762010734387,z=4000"
Institucional,9a36277075788e806023,card,_Medidas.Actividades_ArticulacionInstitucional,,"x=369.0217466344494,y=95.4366586123576,z=6000"
Institucional,1f392cd48aa1eef53112,card,_Medidas.Participantes_Articulacion,,"x=579.0915041235763,y=95.30881005367193,z=7000"
Institucional,aabff877b3de1eaa00d3,card,_Medidas.Participantes_Mesas,,"x=1064.0806388270717,y=97.72169132085351,z=8000"
Institucional,59d653d9bbcfde9f644a,card,_Medidas.Mesas_Interinstitucionalidad,,"x=816.7603089409608,y=96.51525068726272,z=9000"
Institucional,70751c8643c11daa4371,donutChart,Hecho_Participacion_General.bloque_institucional | _Medidas.GenF_Institucional_Participaciones,,"x=920.9637556092508,y=284.7193648602002,z=10000"
Institucional,c8aa564f9b3a4336a293,card,_Medidas.GenF_Institucional_Participaciones,,"x=157.47048671039005,y=97.02726958923023,z=11000"
Institucional,59ed4f6735acd3268264,lineChart,Dim_Fecha.anio | Hecho_Participacion_General.fecha.Variación.Jerarquía de fechas.Mes | _Medidas.GenF_Total_Participaciones,"[{""Condition"": {""In"": {""Expressions"": [{""Column"": {""Expression"": {""SourceRef"": {""Source"": ""h""}}, ""Property"": ""grupo_ambito_comparacion""}}], ""Values"": [[{""Literal"": {""Value"": ""'Externa'""}}], [{""Literal"": {""Value"": ""'Interna + PDL y PP'""}}]]}}}]","x=157.47048671039005,y=284.7193648602002,z=12000"
Institucional,d50efb7f7f7aa39b77ea,pageNavigator,,,"x=0,y=376.9748015188125,z=13000"
Institucional,de06a9daffa3c94d6785,actionButton,,,"x=1096.6545359340228,y=16.890168870270976,z=15000"
Institucional,29aeed70bc7d5843725f,actionButton,,,"x=1185.9311428197407,y=15.683728236680192,z=14000"
AutoVis IA,AutoVisCard_1,card,Sheet1.AB_Sheet1_nata_Sum_3,,"x=30,y=60,z=10"
AutoVis IA,AutoVisCard_2,card,Sheet1.AB_Sheet1_Mujeres_Sum_3,,"x=445,y=60,z=11"
AutoVis IA,AutoVisCard_3,card,Sheet1.AB_Sheet1_Hombres_Sum_3,,"x=860,y=60,z=12"
AutoVis IA,AutoVisCard_4,card,Sheet1.AB_Sheet1_Ni_os_Sum_3,,"x=30,y=310,z=13"
AutoVis IA,AutoVisCard_5,card,Sheet1.AB_Sheet1_nata_Sum_3,,"x=445,y=310,z=14"
AutoVis IA,AutoVisCard_6,card,Sheet1.AB_Sheet1_nata_Sum_3,,"x=860,y=310,z=15"
AutoVis IA,AutoVisCard_1,card,Sheet1.AB_Sheet1_nata_Sum_3,,"x=30,y=60,z=10"
AutoVis IA,AutoVisCard_2,card,Sheet1.AB_Sheet1_Mujeres_Sum_3,,"x=445,y=60,z=11"
AutoVis IA,AutoVisCard_3,card,Sheet1.AB_Sheet1_Hombres_Sum_3,,"x=860,y=60,z=12"
AutoVis IA,AutoVisCard_4,card,Sheet1.AB_Sheet1_Ni_os_Sum_3,,"x=30,y=310,z=13"
AutoVis IA,AutoVisCard_5,card,Sheet1.AB_Sheet1_nata_Sum_3,,"x=445,y=310,z=14"
AutoVis IA,AutoVisCard_6,card,Sheet1.AB_Sheet1_nata_Sum_3,,"x=860,y=310,z=15"
